Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Guatemala,Guatemala,2013,6,Ciencias,III,11.5
Guatemala,Guatemala,2013,6,Ciencias,IV,3.2
Guatemala,Guatemala,2013,6,Lectura,I,20.5
Guatemala,Guatemala,2013,6,Lectura,II,60.1
Guatemala,Guatemala,2013,6,Lectura,III,12.2
Guatemala,Guatemala,2013,6,Lectura,IV,7.2
Guatemala,Guatemala,2013,6,Matemáticas,I,56.4
Guatemala,Guatemala,2013,6,Matemáticas,II,35
Guatemala,Guatemala,2013,6,Matemáticas,III,7.1
Guatemala,Guatemala,2013,6,Matemáticas,IV,1.6
Guatemala,Guatemala,2019,3,Lectura,I,60.7
Guatemala,Guatemala,2019,3,Lectura,II,16.1
Guatemala,Guatemala,2019,3,Lectura,III,15.8
Guatemala,Guatemala,2019,3,Lectura,IV,7.4
Guatemala,Guatemala,2019,3,Matemáticas,I,64.9
Guatemala,Guatemala,2019,3,Matemáticas,II,22.4
Guatemala,Guatemala,2019,3,Matemáticas,III,11.3
Guatemala,Guatemala,2019,3,Matemáticas,IV,1.4
Guatemala,Guatemala,2019,6,Ciencias,I,54.6
Guatemala,Guatemala,2019,6,Ciencias,II,35.6
Guatemala,Guatemala,2019,6,Ciencias,III,7.8
Guatemala,Guatemala,2019,6,Ciencias,IV,2
Guatemala,Guatemala,2019,6,Lectura,I,38.8
Guatemala,Guatemala,2019,6,Lectura,II,45.3
Guatemala,Guatemala,2019,6,Lectura,III,8.9
Guatemala,Guatemala,2019,6,Lectura,IV,7
Guatemala,Guatemala,2019,6,Matemáticas,I,66.2
Guatemala,Guatemala,2019,6,Matemáticas,II,27.1
Guatemala,Guatemala,2019,6,Matemáticas,III,5.8
Guatemala,Guatemala,2019,6,Matemáticas,IV,1
Honduras,Honduras,2013,3,Lectura,I,45.7
Honduras,Honduras,2013,3,Lectura,II,24.7
Honduras,Honduras,2013,3,Lectura,III,22.8
Honduras,Honduras,2013,3,Lectura,IV,6.8
Honduras,Honduras,2013,3,Matemáticas,I,55.7
Honduras,Honduras,2013,3,Matemáticas,II,24.6
Honduras,Honduras,2013,3,Matemáticas,III,15.5
Honduras,Honduras,2013,3,Matemáticas,IV,4.3
Honduras,Honduras,2013,6,Ciencias,I,50.1
Honduras,Honduras,2013,6,Ciencias,II,38.2
Honduras,Honduras,2013,6,Ciencias,III,9.7
Honduras,Honduras,2013,6,Ciencias,IV,2
Honduras,Honduras,2013,6,Lectura,I,25.2
Honduras,Honduras,2013,6,Lectura,II,59.1
Honduras,Honduras,2013,6,Lectura,III,11.2
Honduras,Honduras,2013,6,Lectura,IV,4.6
Honduras,Honduras,2013,6,Matemáticas,I,62.1
Honduras,Honduras,2013,6,Matemáticas,II,31.2
Honduras,Honduras,2013,6,Matemáticas,III,5.4
Honduras,Honduras,2013,6,Matemáticas,IV,1.3
Honduras,Honduras,2019,3,Lectura,I,52.7
Honduras,Honduras,2019,3,Lectura,II,19
Honduras,Honduras,2019,3,Lectura,III,19.3
Honduras,Honduras,2019,3,Lectura,IV,8.9
Honduras,Honduras,2019,3,Matemáticas,I,46.5
Honduras,Honduras,2019,3,Matemáticas,II,25.1
Honduras,Honduras,2019,3,Matemáticas,III,20.4
Honduras,Honduras,2019,3,Matemáticas,IV,8
Honduras,Honduras,2019,6,Ciencias,I,49.2
Honduras,Honduras,2019,6,Ciencias,II,39
Honduras,Honduras,2019,6,Ciencias,III,9.2
Honduras,Honduras,2019,6,Ciencias,IV,2.6
Honduras,Honduras,2019,6,Lectura,I,30.7
Honduras,Honduras,2019,6,Lectura,II,53.1
Honduras,Honduras,2019,6,Lectura,III,10.1
Honduras,Honduras,2019,6,Lectura,IV,6.1
Honduras,Honduras,2019,6,Matemáticas,I,54.5
Honduras,Honduras,2019,6,Matemáticas,II,34.3
Honduras,Honduras,2019,6,Matemáticas,III,8.8
Honduras,Honduras,2019,6,Matemáticas,IV,2.2
México,Mexico,2013,3,Lectura,I,33.1
México,Mexico,2013,3,Lectura,II,22.7
México,Mexico,2013,3,Lectura,III,28.3
México,Mexico,2013,3,Lectura,IV,16
México,Mexico,2013,3,Matemáticas,I,30.3
México,Mexico,2013,3,Matemáticas,II,25
México,Mexico,2013,3,Matemáticas,III,32.7
México,Mexico,2013,3,Matemáticas,IV,12
México,Mexico,2013,6,Ciencias,I,27
México,Mexico,2013,6,Ciencias,II,43.4
México,Mexico,2013,6,Ciencias,III,22.9
México,Mexico,2013,6,Ciencias,IV,6.7
México,Mexico,2013,6,Lectura,I,9.6
México,Mexico,2013,6,Lectura,II,48
México,Mexico,2013,6,Lectura,III,21.5
México,Mexico,2013,6,Lectura,IV,21
México,Mexico,2013,6,Matemáticas,I,23
México,Mexico,2013,6,Matemáticas,II,40.1
México,Mexico,2013,6,Matemáticas,III,23.2
México,Mexico,2013,6,Matemáticas,IV,13.7
México,Mexico,2019,3,Lectura,I,37.4
México,Mexico,2019,3,Lectura,II,19.8
México,Mexico,2019,3,Lectura,III,25.4
México,Mexico,2019,3,Lectura,IV,17.4
México,Mexico,2019,3,Matemáticas,I,34.7
México,Mexico,2019,3,Matemáticas,II,26.5
México,Mexico,2019,3,Matemáticas,III,29.9
México,Mexico,2019,3,Matemáticas,IV,8.9
México,Mexico,2019,6,Ciencias,I,25.7
México,Mexico,2019,6,Ciencias,II,46.7
México,Mexico,2019,6,Ciencias,III,22
México,Mexico,2019,6,Ciencias,IV,5.6
México,Mexico,2019,6,Lectura,I,15.2
México,Mexico,2019,6,Lectura,II,43.2
México,Mexico,2019,6,Lectura,III,18.9
México,Mexico,2019,6,Lectura,IV,22.8
México,Mexico,2019,6,Matemáticas,I,24.3
México,Mexico,2019,6,Matemáticas,II,37.7
México,Mexico,2019,6,Matemáticas,III,26.1
México,Mexico,2019,6,Matemáticas,IV,11.9
Nicaragua,Nicaragua,2013,3,Lectura,I,56.2
Nicaragua,Nicaragua,2013,3,Lectura,II,24.1
Nicaragua,Nicaragua,2013,3,Lectura,III,16.1
Nicaragua,Nicaragua,2013,3,Lectura,IV,3.7
Nicaragua,Nicaragua,2013,3,Matemáticas,I,68
Nicaragua,Nicaragua,2013,3,Matemáticas,II,20.1
Nicaragua,Nicaragua,2013,3,Matemáticas,III,9.9
Nicaragua,Nicaragua,2013,3,Matemáticas,IV,2
Nicaragua,Nicaragua,2013,6,Ciencias,I,49.6
Nicaragua,Nicaragua,2013,6,Ciencias,II,40.3
Nicaragua,Nicaragua,2013,6,Ciencias,III,8.5
Nicaragua,Nicaragua,2013,6,Ciencias,IV,1.6
Nicaragua,Nicaragua,2013,6,Lectura,I,25.6
Nicaragua,Nicaragua,2013,6,Lectura,II,59.8
Nicaragua,Nicaragua,2013,6,Lectura,III,10.4
Nicaragua,Nicaragua,2013,6,Lectura,IV,4.2
Nicaragua,Nicaragua,2013,6,Matemáticas,I,71
Nicaragua,Nicaragua,2013,6,Matemáticas,II,26.1
Nicaragua,Nicaragua,2013,6,Matemáticas,III,2.5
Nicaragua,Nicaragua,2013,6,Matemáticas,IV,0.4
Nicaragua,Nicaragua,2019,3,Lectura,I,63.9
Nicaragua,Nicaragua,2019,3,Lectura,II,18.9
Nicaragua,Nicaragua,2019,3,Lectura,III,13.8
Nicaragua,Nicaragua,2019,3,Lectura,IV,3.4
Nicaragua,Nicaragua,2019,3,Matemáticas,I,65.3
Nicaragua,Nicaragua,2019,3,Matemáticas,II,22.6
Nicaragua,Nicaragua,2019,3,Matemáticas,III,9.8
Nicaragua,Nicaragua,2019,3,Matemáticas,IV,2.2
Nicaragua,Nicaragua,2019,6,Ciencias,I,49.3
Nicaragua,Nicaragua,2019,6,Ciencias,II,45.4
Nicaragua,Nicaragua,2019,6,Ciencias,III,5
Nicaragua,Nicaragua,2019,6,Ciencias,IV,0.3
Nicaragua,Nicaragua,2019,6,Lectura,I,31.4
Nicaragua,Nicaragua,2019,6,Lectura,II,55.6
Nicaragua,Nicaragua,2019,6,Lectura,III,9
Nicaragua,Nicaragua,2019,6,Lectura,IV,4
Nicaragua,Nicaragua,2019,6,Matemáticas,I,65.6
Nicaragua,Nicaragua,2019,6,Matemáticas,II,31.3
Nicaragua,Nicaragua,2019,6,Matemáticas,III,3
Nicaragua,Nicaragua,2019,6,Matemáticas,IV,0.1
Panamá,Panama,2013,3,Lectura,I,48.9
Panamá,Panama,2013,3,Lectura,II,23.3
Panamá,Panama,2013,3,Lectura,III,21.5
Panamá,Panama,2013,3,Lectura,IV,6.3
Panamá,Panama,2013,3,Matemáticas,I,60.1
Panamá,Panama,2013,3,Matemáticas,II,23.6
Panamá,Panama,2013,3,Matemáticas,III,14.2
Panamá,Panama,2013,3,Matemáticas,IV,2.1
Panamá,Panama,2013,6,Ciencias,I,48.9
Panamá,Panama,2013,6,Ciencias,II,36.1
Panamá,Panama,2013,6,Ciencias,III,12
Panamá,Panama,2013,6,Ciencias,IV,3
Panamá,Panama,2013,6,Lectura,I,25.8
Panamá,Panama,2013,6,Lectura,II,53
Panamá,Panama,2013,6,Lectura,III,13.8
Panamá,Panama,2013,6,Lectura,IV,7.4
Panamá,Panama,2013,6,Matemáticas,I,67.5
Panamá,Panama,2013,6,Matemáticas,II,28.3
Panamá,Panama,2013,6,Matemáticas,III,3.5
Panamá,Panama,2013,6,Matemáticas,IV,0.8
Panamá,Panama,2019,3,Lectura,I,58.9
Panamá,Panama,2019,3,Lectura,II,16.7
Panamá,Panama,2019,3,Lectura,III,16.7
Panamá,Panama,2019,3,Lectura,IV,7.7
Panamá,Panama,2019,3,Matemáticas,I,68.4
Panamá,Panama,2019,3,Matemáticas,II,21.8
Panamá,Panama,2019,3,Matemáticas,III,9.1
Panamá,Panama,2019,3,Matemáticas,IV,0.8
Panamá,Panama,2019,6,Ciencias,I,48.6
Panamá,Panama,2019,6,Ciencias,II,39.6
Panamá,Panama,2019,6,Ciencias,III,9.8
Panamá,Panama,2019,6,Ciencias,IV,2
Panamá,Panama,2019,6,Lectura,I,37.2
Panamá,Panama,2019,6,Lectura,II,45.3
Panamá,Panama,2019,6,Lectura,III,10
Panamá,Panama,2019,6,Lectura,IV,7.5
Panamá,Panama,2019,6,Matemáticas,I,72.2
Panamá,Panama,2019,6,Matemáticas,II,24.5
Panamá,Panama,2019,6,Matemáticas,III,3
Panamá,Panama,2019,6,Matemáticas,IV,0.3
Paraguay,Paraguay,2013,3,Lectura,I,57.4
Paraguay,Paraguay,2013,3,Lectura,II,19.7
Paraguay,Paraguay,2013,3,Lectura,III,16.2
Paraguay,Paraguay,2013,3,Lectura,IV,6.7
Paraguay,Paraguay,2013,3,Matemáticas,I,66.5
Paraguay,Paraguay,2013,3,Matemáticas,II,17.1
Paraguay,Paraguay,2013,3,Matemáticas,III,12.6
Paraguay,Paraguay,2013,3,Matemáticas,IV,3.8
Paraguay,Paraguay,2013,6,Ciencias,I,59.3
Paraguay,Paraguay,2013,6,Ciencias,II,31.2
Paraguay,Paraguay,2013,6,Ciencias,III,7.1
Paraguay,Paraguay,2013,6,Ciencias,IV,2.3
Paraguay,Paraguay,2013,6,Lectura,I,33.8
Paraguay,Paraguay,2013,6,Lectura,II,50.3
Paraguay,Paraguay,2013,6,Lectura,III,9.9
Paraguay,Paraguay,2013,6,Lectura,IV,5.9
Paraguay,Paraguay,2013,6,Matemáticas,I,69.3
Paraguay,Paraguay,2013,6,Matemáticas,II,24.8
Paraguay,Paraguay,2013,6,Matemáticas,III,5.1
Paraguay,Paraguay,2013,6,Matemáticas,IV,0.8
Paraguay,Paraguay,2019,3,Lectura,I,51.5
Paraguay,Paraguay,2019,3,Lectura,II,17.8
Paraguay,Paraguay,2019,3,Lectura,III,19.7
Paraguay,Paraguay,2019,3,Lectura,IV,11.1
Paraguay,Paraguay,2019,3,Matemáticas,I,61.7
Paraguay,Paraguay,2019,3,Matemáticas,II,19.5
Paraguay,Paraguay,2019,3,Matemáticas,III,13.7
Paraguay,Paraguay,2019,3,Matemáticas,IV,5
Paraguay,Paraguay,2019,6,Ciencias,I,55.4
Paraguay,Paraguay,2019,6,Ciencias,II,35.5
Paraguay,Paraguay,2019,6,Ciencias,III,7.6
Paraguay,Paraguay,2019,6,Ciencias,IV,1.5
Paraguay,Paraguay,2019,6,Lectura,I,34.6
Paraguay,Paraguay,2019,6,Lectura,II,46.6
Paraguay,Paraguay,2019,6,Lectura,III,10.7
Paraguay,Paraguay,2019,6,Lectura,IV,8.1
Paraguay,Paraguay,2019,6,Matemáticas,I,69.3
Paraguay,Paraguay,2019,6,Matemáticas,II,25.1
Paraguay,Paraguay,2019,6,Matemáticas,III,4.9
Paraguay,Paraguay,2019,6,Matemáticas,IV,0.7
Perú,Peru,2013,3,Lectura,I,32.4
Perú,Peru,2013,3,Lectura,II,21
Perú,Peru,2013,3,Lectura,III,31.1
Perú,Peru,2013,3,Lectura,IV,15.6
Perú,Peru,2013,3,Matemáticas,I,39.6
Perú,Peru,2013,3,Matemáticas,II,25.1
Perú,Peru,2013,3,Matemáticas,III,26.4
Perú,Peru,2013,3,Matemáticas,IV,8.9
Perú,Peru,2013,6,Ciencias,I,38.1
Perú,Peru,2013,6,Ciencias,II,42
Perú,Peru,2013,6,Ciencias,III,15.1
Perú,Peru,2013,6,Ciencias,IV,4.8
Perú,Peru,2013,6,Lectura,I,18.4
Perú,Peru,2013,6,Lectura,II,50.3
Perú,Peru,2013,6,Lectura,III,17.8
Perú,Peru,2013,6,Lectura,IV,13.5
Perú,Peru,2013,6,Matemáticas,I,37.7
Perú,Peru,2013,6,Matemáticas,II,39.6
Perú,Peru,2013,6,Matemáticas,III,15.5
Perú,Peru,2013,6,Matemáticas,IV,7.2
Perú,Peru,2019,3,Lectura,I,24.4
Perú,Peru,2019,3,Lectura,II,16
Perú,Peru,2019,3,Lectura,III,28.8
Perú,Peru,2019,3,Lectura,IV,30.8
Perú,Peru,2019,3,Matemáticas,I,29.3
Perú,Peru,2019,3,Matemáticas,II,23.7
Perú,Peru,2019,3,Matemáticas,III,32.2
Perú,Peru,2019,3,Matemáticas,IV,14.8
Perú,Peru,2019,6,Ciencias,I,26.3
Perú,Peru,2019,6,Ciencias,II,48.8
Perú,Peru,2019,6,Ciencias,III,19.5
Perú,Peru,2019,6,Ciencias,IV,5.3
Perú,Peru,2019,6,Lectura,I,14.1
Perú,Peru,2019,6,Lectura,II,36.9
Perú,Peru,2019,6,Lectura,III,19
Perú,Peru,2019,6,Lectura,IV,30
Perú,Peru,2019,6,Matemáticas,I,24.7
Perú,Peru,2019,6,Matemáticas,II,36.4
Perú,Peru,2019,6,Matemáticas,III,25.9
Perú,Peru,2019,6,Matemáticas,IV,13
República Dominicana,Dominican Republic,2013,3,Lectura,I,74.1
República Dominicana,Dominican Republic,2013,3,Lectura,II,14.9
República Dominicana,Dominican Republic,2013,3,Lectura,III,8.9
República Dominicana,Dominican Republic,2013,3,Lectura,IV,2.1
República Dominicana,Dominican Republic,2013,3,Matemáticas,I,84.8
República Dominicana,Dominican Republic,2013,3,Matemáticas,II,10.3
República Dominicana,Dominican Republic,2013,3,Matemáticas,III,4
República Dominicana,Dominican Republic,2013,3,Matemáticas,IV,0.9
República Dominicana,Dominican Republic,2013,6,Ciencias,I,64.7
República Dominicana,Dominican Republic,2013,6,Ciencias,II,31
República Dominicana,Dominican Republic,2013,6,Ciencias,III,3.7
República Dominicana,Dominican Republic,2013,6,Ciencias,IV,0.6
República Dominicana,Dominican Republic,2013,6,Lectura,I,37.8
República Dominicana,Dominican Republic,2013,6,Lectura,II,54.2
República Dominicana,Dominican Republic,2013,6,Lectura,III,5.9
República Dominicana,Dominican Republic,2013,6,Lectura,IV,2.1
República Dominicana,Dominican Republic,2013,6,Matemáticas,I,80.1
República Dominicana,Dominican Republic,2013,6,Matemáticas,II,18.5
República Dominicana,Dominican Republic,2013,6,Matemáticas,III,1.3
República Dominicana,Dominican Republic,2013,6,Matemáticas,IV,0.2
República Dominicana,Dominican Republic,2019,3,Lectura,I,73
República Dominicana,Dominican Republic,2019,3,Lectura,II,11.9
República Dominicana,Dominican Republic,2019,3,Lectura,III,10.8
República Dominicana,Dominican Republic,2019,3,Lectura,IV,4.4
República Dominicana,Dominican Republic,2019,3,Matemáticas,I,80.1
República Dominicana,Dominican Republic,2019,3,Matemáticas,II,13.2
República Dominicana,Dominican Republic,2019,3,Matemáticas,III,6.2
República Dominicana,Dominican Republic,2019,3,Matemáticas,IV,0.4
República Dominicana,Dominican Republic,2019,6,Ciencias,I,60.3
República Dominicana,Dominican Republic,2019,6,Ciencias,II,34.1
República Dominicana,Dominican Republic,2019,6,Ciencias,III,5
República Dominicana,Dominican Republic,2019,6,Ciencias,IV,0.6
República Dominicana,Dominican Republic,2019,6,Lectura,I,40.7
República Dominicana,Dominican Republic,2019,6,Lectura,II,43
República Dominicana,Dominican Republic,2019,6,Lectura,III,9.2
República Dominicana,Dominican Republic,2019,6,Lectura,IV,7.2
República Dominicana,Dominican Republic,2019,6,Matemáticas,I,77
República Dominicana,Dominican Republic,2019,6,Matemáticas,II,20.8
República Dominicana,Dominican Republic,2019,6,Matemáticas,III,2
República Dominicana,Dominican Republic,2019,6,Matemáticas,IV,0.2
Uruguay,Uruguay,2013,3,Lectura,I,28.6
Uruguay,Uruguay,2013,3,Lectura,II,23.3
Uruguay,Uruguay,2013,3,Lectura,III,31.5
Uruguay,Uruguay,2013,3,Lectura,IV,16.7
Uruguay,Uruguay,2013,3,Matemáticas,I,31.9
Uruguay,Uruguay,2013,3,Matemáticas,II,22.8
Uruguay,Uruguay,2013,3,Matemáticas,III,31.7
Uruguay,Uruguay,2013,3,Matemáticas,IV,13.6
Uruguay,Uruguay,2013,6,Ciencias,I,32.8
Uruguay,Uruguay,2013,6,Ciencias,II,38
Uruguay,Uruguay,2013,6,Ciencias,III,19.6
Uruguay,Uruguay,2013,6,Ciencias,IV,9.6
Uruguay,Uruguay,2013,6,Lectura,I,11.3
Uruguay,Uruguay,2013,6,Lectura,II,45.2
Uruguay,Uruguay,2013,6,Lectura,III,21.4
Uruguay,Uruguay,2013,6,Lectura,IV,22.1
Uruguay,Uruguay,2013,6,Matemáticas,I,26.1
Uruguay,Uruguay,2013,6,Matemáticas,II,36.5
Uruguay,Uruguay,2013,6,Matemáticas,III,24.3
Uruguay,Uruguay,2013,6,Matemáticas,IV,13.2
Uruguay,Uruguay,2019,3,Lectura,I,35.6
Uruguay,Uruguay,2019,3,Lectura,II,17
Uruguay,Uruguay,2019,3,Lectura,III,24.6
Uruguay,Uruguay,2019,3,Lectura,IV,22.8
Uruguay,Uruguay,2019,3,Matemáticas,I,37.2
Uruguay,Uruguay,2019,3,Matemáticas,II,24.5
Uruguay,Uruguay,2019,3,Matemáticas,III,26.3
Uruguay,Uruguay,2019,3,Matemáticas,IV,12
Uruguay,Uruguay,2019,6,Ciencias,I,28.2
Uruguay,Uruguay,2019,6,Ciencias,II,40.2
Uruguay,Uruguay,2019,6,Ciencias,III,20.2
Uruguay,Uruguay,2019,6,Ciencias,IV,11.4
Uruguay,Uruguay,2019,6,Lectura,I,14.7
Uruguay,Uruguay,2019,6,Lectura,II,41.5
Uruguay,Uruguay,2019,6,Lectura,III,17.2
Uruguay,Uruguay,2019,6,Lectura,IV,26.6
Uruguay,Uruguay,2019,6,Matemáticas,I,25.2
Uruguay,Uruguay,2019,6,Matemáticas,II,36.8
Uruguay,Uruguay,2019,6,Matemáticas,III,24.1
Uruguay,Uruguay,2019,6,Matemáticas,IV,13.9
