Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Panamá,Panama,Venezuela,Venezuela,2010,8441
Panamá,Panama,Colombia,Colombia,2010,47190
Panamá,Panama,China,China,2010,15942
Panamá,Panama,Estados Unidos,United States of America,2010,11993
Panamá,Panama,Nicaragua,Nicaragua,2010,11032
Panamá,Panama,Otros,Otros,2010,62656
Argentina,Argentina,Paraguay,Paraguay,2010,588452
Argentina,Argentina,Bolivia,Bolivia,2010,363142
Argentina,Argentina,Chile,Chile,2010,184687
Argentina,Argentina,Peru,Peru,2010,169262
Argentina,Argentina,Venezuela,Venezuela,2010,1236
Argentina,Argentina,Otros,Otros,2010,460927
Bolivia,Bolivia,Argentina,Argentina,2010,36671
Bolivia,Bolivia,Brasil,Brazil,2010,22066
Bolivia,Bolivia,España,Spain,2010,10463
Bolivia,Bolivia,Peru,Peru,2010,9691
Bolivia,Bolivia,México,Mexico,2010,8179
Bolivia,Bolivia,Otros,Otros,2010,32792
Brasil,Brazil,Venezuela,Venezuela,2010,2845
Brasil,Brazil,Portugal,Portugal,2010,136792
Brasil,Brazil,Japón,Japan,2010,48639
Brasil,Brazil,Paraguay,Paraguay,2010,38916
Brasil,Brazil,Bolivia,Bolivia,2010,38484
Brasil,Brazil,Otros,Otros,2010,321352
Chile,Chile,Venezuela,Venezuela,2010,8095
Chile,Chile,Peru,Peru,2010,124672
Chile,Chile,Haiti,Haiti,2010,90
Chile,Chile,Colombia,Colombia,2010,14401
Chile,Chile,Bolivia,Bolivia,2010,25143
Chile,Chile,Otros,Otros,2010,151363
Colombia,Colombia,Venezuela,Venezuela,2010,45692
Colombia,Colombia,Estados Unidos,United States of America,2010,16977
Colombia,Colombia,Ecuador,Ecuador,2010,13707
Colombia,Colombia,España,Spain,2010,7935
Colombia,Colombia,Argentina,Argentina,2010,3386
Colombia,Colombia,Otros,Otros,2010,33258
Ecuador,Ecuador,Venezuela,Venezuela,2010,7032
Ecuador,Ecuador,Colombia,Colombia,2010,221534
Ecuador,Ecuador,Estados Unidos,United States of America,2010,21172
Ecuador,Ecuador,Peru,Peru,2010,10826
Ecuador,Ecuador,Chile,Chile,2010,8959
Ecuador,Ecuador,Otros,Otros,2010,49439
Paraguay,Paraguay,Brasil,Brazil,2010,75523
Paraguay,Paraguay,Argentina,Argentina,2010,58456
Paraguay,Paraguay,Uruguay,Uruguay,2010,2997
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2010,2610
Paraguay,Paraguay,Canadá,Canada,2010,2337
Paraguay,Paraguay,Otros,Otros,2010,14493
Peru,Peru,Venezuela,Venezuela,2010,3504
Peru,Peru,Estados Unidos,United States of America,2010,12739
Peru,Peru,China,China,2010,6491
Peru,Peru,Bolivia,Bolivia,2010,7026
Peru,Peru,Argentina,Argentina,2010,11961
Peru,Peru,Otros,Otros,2010,61723
Uruguay,Uruguay,Argentina,Argentina,2010,26782
Uruguay,Uruguay,España,Spain,2010,15718
Uruguay,Uruguay,Venezuela,Venezuela,2010,565
Uruguay,Uruguay,Brasil,Brazil,2010,11978
Uruguay,Uruguay,Italia,Italy,2010,7095
Uruguay,Uruguay,Otros,Otros,2010,8257
Cuba,Cuba,España,Spain,2015,999
Cuba,Cuba,Italia,Italy,2015,337
Cuba,Cuba,Rusia,Russia,2015,593
Cuba,Cuba,Venezuela,Venezuela,2015,241
Cuba,Cuba,Estados Unidos,United States of America,2015,253
Cuba,Cuba,Otros,Otros,2015,1785
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2015,475084
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2015,3561
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2015,14010
Republica-Dominicana,Dominican Republic,España,Spain,2015,6967
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2015,4578
Republica-Dominicana,Dominican Republic,Otros,Otros,2015,36640
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2015,292232
Costa Rica,Costa Rica,Venezuela,Venezuela,2015,1381
Costa Rica,Costa Rica,Colombia,Colombia,2015,21270
Costa Rica,Costa Rica,El Salvador,El Salvador,2015,13900
Costa Rica,Costa Rica,Estados Unidos,United States of America,2015,12673
Costa Rica,Costa Rica,Otros,Otros,2015,56299
El Salvador,El Salvador,Honduras,Honduras,2015,11676
El Salvador,El Salvador,Guatemala,Guatemala,2015,8885
El Salvador,El Salvador,Nicaragua,Nicaragua,2015,7823
El Salvador,El Salvador,Estados Unidos,United States of America,2015,5397
El Salvador,El Salvador,México,Mexico,2015,1714
El Salvador,El Salvador,Otros,Otros,2015,6423
Guatemala,Guatemala,El Salvador,El Salvador,2015,18301
Guatemala,Guatemala,México,Mexico,2015,16720
Guatemala,Guatemala,Estados Unidos,United States of America,2015,8239
Guatemala,Guatemala,Nicaragua,Nicaragua,2015,8161
Guatemala,Guatemala,Honduras,Honduras,2015,7995
Guatemala,Guatemala,Otros,Otros,2015,13298
Honduras,Honduras,El Salvador,El Salvador,2015,8853
Honduras,Honduras,Nicaragua,Nicaragua,2015,7767
Honduras,Honduras,Estados Unidos,United States of America,2015,6799
Honduras,Honduras,Guatemala,Guatemala,2015,4607
Honduras,Honduras,México,Mexico,2015,1567
Honduras,Honduras,Otros,Otros,2015,8514
México,Mexico,Estados Unidos,United States of America,2015,728502
México,Mexico,Venezuela,Venezuela,2015,16491
México,Mexico,Guatemala,Guatemala,2015,42221
México,Mexico,Honduras,Honduras,2015,14623
México,Mexico,España,Spain,2015,22544
México,Mexico,Otros,Otros,2015,168236
Nicaragua,Nicaragua,Honduras,Honduras,2015,12439
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2015,10772
Nicaragua,Nicaragua,Estados Unidos,United States of America,2015,3606
Nicaragua,Nicaragua,El Salvador,El Salvador,2015,2444
Nicaragua,Nicaragua,Guatemala,Guatemala,2015,1762
Nicaragua,Nicaragua,Otros,Otros,2015,7322
Panamá,Panama,Venezuela,Venezuela,2015,9883
Panamá,Panama,Colombia,Colombia,2015,55251
Panamá,Panama,China,China,2015,18665
Panamá,Panama,Estados Unidos,United States of America,2015,14040
Panamá,Panama,Nicaragua,Nicaragua,2015,12915
Panamá,Panama,Otros,Otros,2015,73307
Argentina,Argentina,Paraguay,Paraguay,2015,679044
Argentina,Argentina,Bolivia,Bolivia,2015,419048
Argentina,Argentina,Chile,Chile,2015,213119
Argentina,Argentina,Peru,Peru,2015,195320
Argentina,Argentina,Venezuela,Venezuela,2015,1240
Argentina,Argentina,Otros,Otros,2015,534391
Bolivia,Bolivia,Argentina,Argentina,2015,42697
Bolivia,Bolivia,Brasil,Brazil,2015,25692
Bolivia,Bolivia,España,Spain,2015,12183
Bolivia,Bolivia,Peru,Peru,2015,11284
Bolivia,Bolivia,México,Mexico,2015,9524
Bolivia,Bolivia,Otros,Otros,2015,38295
Brasil,Brazil,Venezuela,Venezuela,2015,3354
Brasil,Brazil,Portugal,Portugal,2015,161250
Brasil,Brazil,Japón,Japan,2015,57336
Brasil,Brazil,Paraguay,Paraguay,2015,45874
Brasil,Brazil,Bolivia,Bolivia,2015,45364
Brasil,Brazil,Otros,Otros,2015,380632
Chile,Chile,Venezuela,Venezuela,2015,54787
Chile,Chile,Peru,Peru,2015,150885
Chile,Chile,Haiti,Haiti,2015,39825
Chile,Chile,Colombia,Colombia,2015,73601
Chile,Chile,Bolivia,Bolivia,2015,53244
Chile,Chile,Otros,Otros,2015,189234
Colombia,Colombia,Venezuela,Venezuela,2015,55893
Colombia,Colombia,Estados Unidos,United States of America,2015,18963
Colombia,Colombia,Ecuador,Ecuador,2015,16397
Colombia,Colombia,España,Spain,2015,11877
Colombia,Colombia,Argentina,Argentina,2015,4464
Colombia,Colombia,Otros,Otros,2015,40938
Ecuador,Ecuador,Venezuela,Venezuela,2015,8901
Ecuador,Ecuador,Colombia,Colombia,2015,194721
Ecuador,Ecuador,Estados Unidos,United States of America,2015,26802
Ecuador,Ecuador,Peru,Peru,2015,13705
Ecuador,Ecuador,Chile,Chile,2015,11341
Ecuador,Ecuador,Otros,Otros,2015,60734
Paraguay,Paraguay,Brasil,Brazil,2015,73715
Paraguay,Paraguay,Argentina,Argentina,2015,57056
Paraguay,Paraguay,Uruguay,Uruguay,2015,2925
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2015,2547
Paraguay,Paraguay,Canadá,Canada,2015,2281
Paraguay,Paraguay,Otros,Otros,2015,14140
Peru,Peru,Venezuela,Venezuela,2015,4129
Peru,Peru,Estados Unidos,United States of America,2015,18958
Peru,Peru,China,China,2015,18783
Peru,Peru,Bolivia,Bolivia,2015,16767
Peru,Peru,Argentina,Argentina,2015,14386
Peru,Peru,Otros,Otros,2015,79757
Uruguay,Uruguay,Argentina,Argentina,2015,27662
Uruguay,Uruguay,España,Spain,2015,16232
Uruguay,Uruguay,Venezuela,Venezuela,2015,583
Uruguay,Uruguay,Brasil,Brazil,2015,12369
Uruguay,Uruguay,Italia,Italy,2015,7327
Uruguay,Uruguay,Otros,Otros,2015,8518
Cuba,Cuba,España,Spain,2020,505
Cuba,Cuba,Italia,Italy,2020,371
Cuba,Cuba,Rusia,Russia,2020,343
Cuba,Cuba,Venezuela,Venezuela,2020,245
Cuba,Cuba,Estados Unidos,United States of America,2020,176
Cuba,Cuba,Otros,Otros,2020,1166
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2020,496112
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2020,34063
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2020,14626
Republica-Dominicana,Dominican Republic,España,Spain,2020,7272
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2020,4780
Republica-Dominicana,Dominican Republic,Otros,Otros,2020,38172
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2020,350854
Costa Rica,Costa Rica,Venezuela,Venezuela,2020,28214
Costa Rica,Costa Rica,Colombia,Colombia,2020,25530
Costa Rica,Costa Rica,El Salvador,El Salvador,2020,16682
Costa Rica,Costa Rica,Estados Unidos,United States of America,2020,15209
Costa Rica,Costa Rica,Otros,Otros,2020,67491
El Salvador,El Salvador,Honduras,Honduras,2020,11878
El Salvador,El Salvador,Guatemala,Guatemala,2020,9036
El Salvador,El Salvador,Nicaragua,Nicaragua,2020,7956
El Salvador,El Salvador,Estados Unidos,United States of America,2020,5488
El Salvador,El Salvador,México,Mexico,2020,1742
El Salvador,El Salvador,Otros,Otros,2020,6497
Guatemala,Guatemala,El Salvador,El Salvador,2020,20683
Guatemala,Guatemala,México,Mexico,2020,18872
Guatemala,Guatemala,Estados Unidos,United States of America,2020,9299
Guatemala,Guatemala,Nicaragua,Nicaragua,2020,9211
Guatemala,Guatemala,Honduras,Honduras,2020,9023
Guatemala,Guatemala,Otros,Otros,2020,14916
Honduras,Honduras,El Salvador,El Salvador,2020,9071
Honduras,Honduras,Nicaragua,Nicaragua,2020,7943
Honduras,Honduras,Estados Unidos,United States of America,2020,6954
Honduras,Honduras,Guatemala,Guatemala,2020,4711
Honduras,Honduras,México,Mexico,2020,1602
Honduras,Honduras,Otros,Otros,2020,8663
México,Mexico,Estados Unidos,United States of America,2020,799248
México,Mexico,Venezuela,Venezuela,2020,70377
México,Mexico,Guatemala,Guatemala,2020,46318
México,Mexico,Honduras,Honduras,2020,38764
México,Mexico,España,Spain,2020,24731
México,Mexico,Otros,Otros,2020,194973
Nicaragua,Nicaragua,Honduras,Honduras,2020,13110
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2020,11281
Nicaragua,Nicaragua,Estados Unidos,United States of America,2020,3775
Nicaragua,Nicaragua,El Salvador,El Salvador,2020,2557
Nicaragua,Nicaragua,Guatemala,Guatemala,2020,1843
Nicaragua,Nicaragua,Otros,Otros,2020,7596
Panamá,Panama,Venezuela,Venezuela,2020,119553
Panamá,Panama,Colombia,Colombia,2020,50702
Panamá,Panama,China,China,2020,22427
Panamá,Panama,Estados Unidos,United States of America,2020,16867
Panamá,Panama,Nicaragua,Nicaragua,2020,15517
Panamá,Panama,Otros,Otros,2020,87034
Argentina,Argentina,Paraguay,Paraguay,2020,685714
Argentina,Argentina,Bolivia,Bolivia,2020,423136
Argentina,Argentina,Chile,Chile,2020,215198
Argentina,Argentina,Peru,Peru,2020,197226
Argentina,Argentina,Venezuela,Venezuela,2020,176369
Argentina,Argentina,Otros,Otros,2020,539526
Bolivia,Bolivia,Argentina,Argentina,2020,47601
Bolivia,Bolivia,Brasil,Brazil,2020,28612
Bolivia,Bolivia,España,Spain,2020,13568
Bolivia,Bolivia,Peru,Peru,2020,12565
Bolivia,Bolivia,México,Mexico,2020,10606
Bolivia,Bolivia,Otros,Otros,2020,47240
Brasil,Brazil,Venezuela,Venezuela,2020,248105
Brasil,Brazil,Portugal,Portugal,2020,175251
Brasil,Brazil,Japón,Japan,2020,62296
Brasil,Brazil,Paraguay,Paraguay,2020,49842
Brasil,Brazil,Bolivia,Bolivia,2020,49289
Brasil,Brazil,Otros,Otros,2020,476852
Chile,Chile,Venezuela,Venezuela,2020,523553
Chile,Chile,Peru,Peru,2020,240273
Chile,Chile,Haiti,Haiti,2020,236912
Chile,Chile,Colombia,Colombia,2020,173487
Chile,Chile,Bolivia,Bolivia,2020,128782
Chile,Chile,Otros,Otros,2020,299387
Colombia,Colombia,Venezuela,Venezuela,2020,1780486
Colombia,Colombia,Estados Unidos,United States of America,2020,20810
Colombia,Colombia,Ecuador,Ecuador,2020,19180
Colombia,Colombia,España,Spain,2020,17122
Colombia,Colombia,Argentina,Argentina,2020,5719
Colombia,Colombia,Otros,Otros,2020,49687
Ecuador,Ecuador,Venezuela,Venezuela,2020,388861
Ecuador,Ecuador,Colombia,Colombia,2020,203470
Ecuador,Ecuador,Estados Unidos,United States of America,2020,28026
Ecuador,Ecuador,Peru,Peru,2020,14331
Ecuador,Ecuador,Chile,Chile,2020,11859
Ecuador,Ecuador,Otros,Otros,2020,63716
Paraguay,Paraguay,Brasil,Brazil,2020,79897
Paraguay,Paraguay,Argentina,Argentina,2020,61833
Paraguay,Paraguay,Uruguay,Uruguay,2020,3168
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2020,2759
Paraguay,Paraguay,Canadá,Canada,2020,2471
Paraguay,Paraguay,Otros,Otros,2020,15303
Peru,Peru,Venezuela,Venezuela,2020,941889
Peru,Peru,Estados Unidos,United States of America,2020,41292
Peru,Peru,China,China,2020,31931
Peru,Peru,Bolivia,Bolivia,2020,28165
Peru,Peru,Argentina,Argentina,2020,26854
Peru,Peru,Otros,Otros,2020,149892
Uruguay,Uruguay,Argentina,Argentina,2020,33022
Uruguay,Uruguay,España,Spain,2020,19374
Uruguay,Uruguay,Venezuela,Venezuela,2020,14908
Uruguay,Uruguay,Brasil,Brazil,2020,14762
Uruguay,Uruguay,Italia,Italy,2020,8744
Uruguay,Uruguay,Otros,Otros,2020,10155
